#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
979,Annihilape,Fighting,Ghost,535,110,115,80,50,90,90,,Strong (500-579),Fighting / Ghost,True,59.5,83.6,Average
980,Clodsire,Poison,Ground,430,130,75,60,45,100,20,,Average (400-499),Poison / Ground,True,29.2,87.0,Very Slow
981,Farigiraf,Normal,Psychic,520,120,90,70,110,70,60,,Strong (500-579),Normal / Psychic,True,82.69999999999999,73.0,Slow
982,Dudunsparce,Normal,,520,125,100,80,85,75,55,Three-Segment Form,Strong (500-579),Normal,False,74.0,83.6,Slow
982,Dudunsparce,Normal,,520,125,100,80,85,75,55,Two-Segment Form,Strong (500-579),Normal,False,74.0,83.6,Slow
983,Kingambit,Dark,Steel,550,100,135,120,60,85,50,,Strong (500-579),Dark / Steel,True,79.80000000000001,91.2,Slow
983,Kingambit,Dark,Steel,550,100,135,120,60,85,50,,Strong (500-579),Dark / Steel,True,79.80000000000001,91.2,Slow
984,Great Tusk,Ground,Fighting,570,115,131,131,53,53,87,,Strong (500-579),Ground / Fighting,True,72.89999999999999,89.0,Average
985,Scream Tail,Fairy,Psychic,570,115,65,99,65,115,111,,Strong (500-579),Fairy / Psychic,True,34.699999999999996,95.5,Fast
986,Brute Bonnet,Grass,Dark,570,111,127,99,79,99,55,,Strong (500-579),Grass / Dark,True,85.8,92.10000000000001,Slow
987,Flutter Mane,Ghost,Fairy,570,55,55,55,135,135,135,,Strong (500-579),Ghost / Fairy,True,76.3,64.9,Very Fast
988,Slither Wing,Bug,Fighting,570,85,135,79,85,105,81,,Strong (500-579),Bug / Fighting,True,90.4,77.8,Average
989,Sandy Shocks,Electric,Ground,570,85,81,97,121,85,101,,Strong (500-579),Electric / Ground,True,84.1,77.3,Fast
990,Iron Treads,Ground,Steel,570,90,112,120,72,70,106,,Strong (500-579),Ground / Steel,True,72.89999999999999,83.6,Fast
991,Iron Bundle,Ice,Water,570,56,80,114,124,60,136,,Strong (500-579),Ice / Water,True,84.5,57.099999999999994,Very Fast
992,Iron Hands,Fighting,Electric,570,154,140,108,50,68,50,,Strong (500-579),Fighting / Electric,True,76.3,95.89999999999999,Slow
993,Iron Jugulis,Dark,Flying,570,94,80,86,122,80,108,,Strong (500-579),Dark / Flying,True,84.1,73.0,Fast
994,Iron Moth,Fire,Poison,570,80,70,60,140,110,110,,Strong (500-579),Fire / Poison,True,87.3,67.5,Fast
995,Iron Thorns,Rock,Electric,570,100,134,110,70,84,72,,Strong (500-579),Rock / Electric,True,84.5,88.2,Average
996,Frigibax,Dragon,Ice,320,65,75,45,35,45,55,,Weak (300-399),Dragon / Ice,True,22.6,19.7,Slow
997,Arctibax,Dragon,Ice,423,90,95,66,45,65,62,,Average (400-499),Dragon / Ice,True,41.6,53.400000000000006,Slow
998,Baxcalibur,Dragon,Ice,600,115,145,92,75,86,87,,Very Strong (580-699),Dragon / Ice,True,90.4,88.1,Average
1000,Gholdengo,Steel,Ghost,550,87,60,95,133,91,84,,Strong (500-579),Steel / Ghost,True,78.4,80.60000000000001,Average
1001,Wo-Chien,Dark,Grass,570,85,85,100,95,135,70,,Strong (500-579),Dark / Grass,True,70.3,94.5,Slow
1002,Chien-Pao,Dark,Ice,570,80,120,80,90,65,135,,Strong (500-579),Dark / Ice,True,87.3,54.800000000000004,Very Fast
1003,Ting-Lu,Dark,Ground,570,155,110,125,55,80,45,,Strong (500-579),Dark / Ground,True,59.5,98.6,Very Slow
1004,Chi-Yu,Dark,Fire,570,55,80,80,135,120,100,,Strong (500-579),Dark / Fire,True,89.0,70.39999999999999,Average
1005,Roaring Moon,Dragon,Dark,590,105,139,71,55,101,119,,Very Strong (580-699),Dragon / Dark,True,78.9,82.69999999999999,Fast
1006,Iron Valiant,Fairy,Fighting,590,74,130,90,120,60,116,,Very Strong (580-699),Fairy / Fighting,True,95.6,53.900000000000006,Fast
1007,Koraidon,Fighting,Dragon,670,100,135,115,85,100,135,,Very Strong (580-699),Fighting / Dragon,True,90.4,93.5,Very Fast
1008,Miraidon,Electric,Dragon,670,100,85,100,135,115,135,,Very Strong (580-699),Electric / Dragon,True,90.4,93.5,Very Fast
